no,contentsId,category,title,description,manuscript,jp,en,ch,kr,industryCd,industryName,sceneCd,sceneName
11,00011,template,旬の素材,旬の素材オススメ案内,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では新鮮な旬の素材を産地から直送し、お客様にご提供しております。自信を持っておすすめできる⼀品をぜひご賞味ください。本日のご来店誠にありがとうございます。,本⽇は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、新鮮な旬の素材を産地から直送し、お客様にご提供しております。自信を持っておすすめできる一品をぜひご賞味ください。本日のご来店、誠にありがとうございます。,Thank you for visiting us today. The following is an announcement for our customers. We have fresh seasonal ingredients delivered straight from where they were produced and bring them straight to our customers. We hope you give these dishes we take pride in a taste. We thank you for visiting us today.,衷心感谢各位顾客今天的光临。下面为您广播通知。本店为各位顾客提供产地直供的新鲜当季食材。敬请品尝我们真诚推荐的菜品。再次衷心感谢您今天的光临。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 매장에서는 산지에서 직송한 신선한 제철 재료를 고객님께 제공해 드리고 있습니다. 자신있게 추천해 드리는 일품 요리를 꼭 한번 드셔보시기 바랍니다. 오늘도 방문해 주셔서 대단히 감사합니다.,10-99,飲食店向け-全業種のシーン一覧,007-007,案内-案内
12,00012,template,館内禁煙,館内禁煙案内,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にお願い申し上げます。当店は、条例により、全席禁煙とさせていただいております。ご理解頂きますようお願い致します。本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。,"本⽇は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にお願い申し上げます。当店は、条例により、全席禁煙とさせていただいております。ご理解頂きますようお願い致します。
本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。",Thank you for visiting us today. The following is an announcement for our customers. Smoking is prohibited in this establishment in accordance with the fire prevention ordinance. Thank you for your understanding. We thank you for visiting us today. We hope you enjoy your time here with us today.,衷心感谢各位顾客今天的光临。我们温馨提示您，依照（防火）相关条例的规定，本店店内全面禁烟。恳请您给予理解。感谢您今天的惠顾。祝您度过一段轻松愉快的时光。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 당부의 말씀 드립니다. 저희 매장은 화재 예방 조례에 따라 모든 자리에서 금연을 시행하고 있습니다. 양해해 주시기 바랍니다. 오늘도 이용해 주셔서 감사합니다. 편안한 시간 보내시기 바랍니다.,10-99,飲食店向け-全業種のシーン一覧,007-007,案内-案内
13,00013,template,分煙案内,分煙案内,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では喫煙席、禁煙席をご用意いたしております。お気軽にお申し出くださいませ。本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。,"本⽇は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店では、喫煙席、禁煙席をご用意いたしております。お気軽にお申し出くださいませ。
本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。","Thank you for visiting us today. The following is an announcement for our customers. Here in this establishment, we have both smoking and non-smoking areas available. Please feel free to let us know which area you prefer. We thank you for visiting us today. We hope you enjoy your time here with us today.",衷心感谢各位顾客今天的光临。下面为您广播通知。本店设有吸烟席和禁烟席。如有任何要求，敬请告知我们。感谢您今天的惠顾。祝您度过一段轻松愉快的时光。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 매장에는 흡연석 및 금연석이 마련되어 있습니다. 부담 없이 말씀해 주시기 바랍니다. 오늘도 이용해 주셔서 감사합니다. 편안한 시간 보내시기 바랍니다.,10-99,飲食店向け-全業種のシーン一覧,007-007,案内-案内
14,00014,template,クリスマスメニュ－,クリスマスメニュ－案内,街のいたるところで目にする、⾊とりどりのイルミネーション。大人も子供も⼼躍らせるクリスマスの季節が、今年もいよいよやってきました。${customerName}では、特別なクリスマスメニューをご用意しております。是非お楽しみください。,街のいたるところで目にする、⾊とりどりのイルミネーション。大人も子供も⼼躍らせるクリスマスの季節が、今年もいよいよやってきました。${customerName}では、特別なクリスマスメニューをご用意しております。是非お楽しみください。,"There are colorful Christmas lights wherever you look out in town. The Christmas season has finally arrived this year, bringing cheer to the hearts of adults and children alike. Here at our restaurant, we have prepared a special Christmas menu to commemorate the season. We hope you enjoy these delicious seasonal dishes.",大街小巷处处都被街灯装饰得五彩缤纷。令大人和孩子都欢欣雀跃的圣诞季终于又来到了。本店为各位顾客准备了圣诞节特别菜单。敬请品尝。,거리 곳곳에 보이는 다채로운 일루미네이션. 올해도 드디어 어른과 아이 모두 설레는 크리스마스의 계절이 찾아왔습니다. 저희 매장에는 특별한 크리스마스 메뉴가 준비되어 있습니다. 꼭 한번 즐겨보시기 바랍니다.,10-99,飲食店向け-全業種のシーン一覧,010-009,年中⾏事販促-年始営業告知
15,00015,template,忘年会予約,忘年会予約案内,只今当店では、忘年会のご予約を承っております。ご予算やご利用人数など、幹事様のご都合にあわせてご予約いただけます。今年の忘年会は、ぜひ、${customerName}をご利用ください。,只今、当店では、忘年会のご予約を承っております。ご予算やご利用人数など、幹事様のご都合にあわせてご予約いただけます。今年の忘年会は、ぜひ${customerName}をご利用ください。,"We are currently taking reservations for end-of-the-year parties. Reservations can be made based on your budget, party size, and other conditions presented by the organizer. We hope you choose to have your end-of-the-party here this year.",本店目前正在接受忘年会的预约。我们可以根据预算及参加人数等组织者的要求为您预约。欢迎您今年前来本店举办忘年会。,"현재 저희 매장에서는 송년회 예약을 받고 있습니다. 예산, 이용 인원 수 등, 고객 여러분의 상황에 맞춰 예약하실 수 있습니다. 올해 송년회는 저희 매장을 이용해 주시기 바랍니다.",10-99,飲食店向け-全業種のシーン一覧,010-009,年中⾏事販促-年始営業告知
16,00016,template,◯時閉店,営業時間案内（◯時閉店）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店の営業時間は${time}までとなっております。本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。,"本日は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店の営業時間は、${time}までとなっております。
本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。",Thank you for visiting us today. The following is an announcement for our customers. We are open until ${time}. We thank you for visiting us today. We hope you enjoy your time here with us today.,衷心感谢各位顾客今天的光临。下面为您广播通知。本店的营业时间截止至${time}。感谢您今天的惠顾。祝您度过一段轻松愉快的时光。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 매장의 영업시간은 ${time}까지입니다. 오늘도 이용해 주셔서 감사합니다. 편안한 시간 보내시기 바랍니다.,10-99,飲食店向け-全業種のシーン一覧,012-011,営業時間案内-時報
17,00017,template,年中無休案内,営業時間案内（年中無休）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店は年中休まず営業いたしております。いつでもお気軽にお食事をお楽しみくださいませ。本日は、ご来店ありがとうございます。どうぞごゆっくりお過ごしくださいませ。,本日は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店は年中休まず・営業いたしております。いつでもお気軽に、お食事をお楽しみくださいませ。本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。,Thank you for visiting us today. The following is an announcement for our customers. We are open every day of the year. Please come enjoy a meal any time. We thank you for visiting us today. We hope you enjoy your time here with us today.,衷心感谢各位顾客今天的光临。下面为您广播通知。本店365天天天营业，欢迎您随时前来用餐。感谢各位顾客今天的光临。祝您度过一段轻松愉快的时光。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 매장은 연중무휴로 영업을 실시하고 있습니다. 언제든지 가볍게 식사를 즐기시기 바랍니다. 오늘도 방문해 주셔서 감사합니다. 편안한 시간 보내시기 바랍니다.,10-99,飲食店向け-全業種のシーン一覧,012-012,営業時間案内-営業時間案内
18,00018,template,２４時間営業,営業時間案内（24時間営業）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様に当店の営業時間のご案内を申し上げます。当店は、２４時間営業とさせていただいております。本日は、ご利用ありがとうございます。どうぞ、ごゆっくりお過ごしくださいませ。,本日は${customerName}にご来店いただきまして、誠にありがとうございます。お客様に当店の営業時間のご案内を申し上げます。当店は、２４時間営業とさせていただいております。本日は、ご利用ありがとうございます。どうぞ、ごゆっくりお過ごしくださいませ。,Thank you for visiting us today. The following is an announcement for our customers regarding our hours of operation. We are open 24 hours a day. We thank you for visiting us today. We hope you enjoy your time here with us today.,衷心感谢各位顾客今天的光临。下面为您广播本店的营业时间。本店24小时全天候营业。感谢您今天的惠顾。祝您度过一段轻松愉快的时光。,오늘도 방문해 주셔서 대단히 감사합니다. 저희 매장의 영업시간에 대한 안내 말씀드립니다. 저희 매장은 24시간 영업을 실시하고 있습니다. 오늘도 이용해 주셔서 감사합니다. 편안한 시간 보내시기 바랍니다.,10-20-99,飲食店向け-サービス業向け-全業種のシーン一覧,012-012-012,営業時間案内-営業時間案内-営業時間案内
19,00019,template,携帯電話自粛,携帯電話使用自粛案内,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にお願い申し上げます。店内でのスマートフォン・携帯電話の通話は、他のお客様のご迷惑となりますので、ご遠慮くださいますよう、ご理解の程よろしくお願いいたします。,本日は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にお願い申し上げます。店内でのスマートフォン、携帯電話の通話は、他のお客様のご迷惑となりますので、ご遠慮くださいますよう、ご理解の程よろしくお願いいたします。,"Thank you for visiting us today. The following is an announcement for our customers.We kindly ask that you refrain from talking on your smartphone or cellphone in this establishment, as this may be a disturbance for other customers.",衷心感谢各位顾客今天的光临。我们温馨提示您，请勿在店内使用智能手机或功能手机通话，以免给其他顾客带来困扰。感谢您的理解。,오늘도 방문해 주셔서 대단히 감사합니다. 고객 여러분께 부탁 말씀드립니다. 매장 내에서 스마트폰이나 휴대전화를 사용하여 통화하면 다른 고객님께 불편을 끼치게 되오니 삼가 주시기 바랍니다. 고객님의 양해를 부탁드립니다.,10-20-99,飲食店向け-サービス業向け-全業種のシーン一覧,015-015-014,注意・禁⽌-注意・禁⽌-カード
20,00020,template,警備巡回,警備巡回案内,本日は、${customerName}をご利用いただきまして、誠にありがとうございます。お客様にご案内申し上げます。  防犯のため、警備員が巡回いたしておりますが、お手回り品、貴重品には⼗分ご注意くださいますよう、宜しくお願い申し上げます。またご用の際はお気軽にお声掛けくださいませ。本日のご利用、誠にありがとうございます。,本日は、${customerName}をご利用いただきまして、誠にありがとうございます。お客様にご案内申し上げます。  防犯のため、警備員が巡回いたしておりますが、お手回り品、貴重品には⼗分ご注意くださいますよう、宜しくお願い申し上げます。またご用の際はお気軽にお声掛けくださいませ。本日のご利用、誠にありがとうございます。,"Thank you for visiting us today. The following is an announcement for our customers. While security guards are patrolling the premises as a crime prevention measure, we ask that you remain fully aware of your personal belongings and valuables. Please also feel free to let us know if you need anything. We thank you for visiting us today.",衷心感谢各位顾客今天的光临。下面为您广播通知。出于安全防犯目的，保安正在店内巡逻，但为以防万一，请您妥善保管好随身物品及贵重物品。另外，如有任何需要，敬请告知我们。再次衷心感谢您今天的惠顾。,"오늘도 이용해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 범죄 예방을 위해 경비원이 순찰을 실시하고 있으나 고객 여러분께서도 소지품, 귀중품에 충분히 주의해 주시기 바랍니다. 또한, 용건이 있으신 경우 언제든지 말씀해 주시기 바랍니다. 오늘도 이용해 주셔서 대단히 감사합니다.",10-99,飲食店向け-全業種のシーン一覧,018-015,防犯-注意・禁⽌
21,00021,template,開店◯分前,従業員向け、開店◯分前（サービス業）,皆さん、おはようございます。只今、開店${minutes}分前です。お客様をお迎えするために、各自準備をすすめてください。服装は清潔にしていますか？店内の清掃は⾏き届いていますか？接客時は丁寧な⾔葉遣いを⼼がけましょう。只今、開店${minutes}分前です。,皆さん、おはようございます。只今、開店${minutes}分前です。お客様をお迎えするために、各自準備をすすめてください。服装は清潔にしていますか？店内の清掃は⾏き届いていますか？接客時は丁寧な⾔葉遣いを⼼がけましょう。只今、開店${minutes}分前です。,,,,20-99,サービス業向け-全業種のシーン一覧,004-004,開店-開店
22,00022,template,まもなく閉店,まもなく閉店（サービス業）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店は、まもなく閉店時間でございます。お客様のまたのご来店を⼼よりお待ち申し上げております。本日は誠にありがとうございました。,本日は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店はまもなく、閉店時間でございます。お客様のまたのご来店を、心よりお待ち申し上げております。本日は誠にありがとうございました。,Thank you for visiting us today. The following is an announcement for our customers. We are nearing closing time. We look forward to seeing you again soon. Thank you for visiting us today.,衷心感谢各位顾客今天的光临。下面为您广播通知。本店的营业时间即将结束。我们衷心恭候您的下次光临。再次感谢您今天光临本店。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 곧 저희 매장의 영업 종료 시간입니다. 다시 찾아 주시기를 진심으로 기원합니다. 오늘도 이용해 주셔서 대단히 감사합니다.,20-99,サービス業向け-全業種のシーン一覧,005-005,閉店-閉店
23,00023,template,アルバイト募集,アルバイト募集案内（サービス業）,お客様にご案内申し上げます。${customerName}では、アルバイトを募集いたしております。明るく楽しい仲間たちと、一緒に働いてみませんか？詳しくは、当店スタッフまで、お気軽にお問い合わせください。,お客様にご案内申し上げます。${customerName}では、アルバイトを募集いたしております。明るく楽しい仲間たちと、一緒に働いてみませんか？詳しくは、当店スタッフまで、お気軽にお問い合わせください。,,,,20-99,サービス業向け-全業種のシーン一覧,007-007,案内-案内
24,00024,template,スタッフ募集,スタッフ募集案内（サービス業）,お客様にご案内申し上げます。${customerName}では、スタッフを募集いたしております。明るく楽しい仲間たちと、一緒に働いてみませんか？詳しくは、当店スタッフまで、お気軽にお問い合わせください。,お客様にご案内申し上げます。${customerName}では、スタッフを募集いたしております。明るく楽しい仲間たちと、一緒に働いてみませんか？詳しくは、当店スタッフまで、お気軽にお問い合わせください。,,,,20-99,サービス業向け-全業種のシーン一覧,007-007,案内-案内
25,00025,template,◯時閉店,営業時間案内(◯時閉店）,本日は、${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店の営業時間は${time}までとなっております。本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。,"本日は${customerName}にご来店いただきまして、誠にありがとうございます。お客様にご案内申し上げます。当店の営業時間は、${time}までとなっております。
本日は、ご利用ありがとうございます。どうぞごゆっくりお過ごしくださいませ。",Thank you for visiting us today. The following is an announcement for our customers. We are open until ${time}. We thank you for visiting us today. We hope you enjoy your time here with us today.,衷心感谢各位顾客今天的光临。下面为您广播通知。本店的营业时间截止至${time}整。感谢您今天的惠顾。祝您度过一段轻松愉快的时光。,오늘도 방문해 주셔서 대단히 감사합니다. 고객님께 안내 말씀드립니다. 저희 매장의 영업시간은 ${time}까지입니다. 오늘도 이용해 주셔서 감사합니다. 편안한 시간 보내시기 바랍니다.,20-99,サービス業向け-全業種のシーン一覧,012-012,営業時間案内-営業時間案内
